Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Cataluña;Hombres;De 40 a 44 años;42
Total Nacional;Cataluña;Hombres;De 45 a 49 años;56
Total Nacional;Cataluña;Hombres;De 50 a 54 años;35
Total Nacional;Cataluña;Hombres;De 55 a 59 años;39
Total Nacional;Cataluña;Hombres;De 60 a 64 años;34
Total Nacional;Cataluña;Hombres;De 65 a 69 años;25
Total Nacional;Cataluña;Hombres;De 70 a 74 años;22
Total Nacional;Cataluña;Hombres;De 75 a 79 años;28
Total Nacional;Cataluña;Hombres;De 80 a 84 años;18
Total Nacional;Cataluña;Hombres;De 85 a 89 años;29
Total Nacional;Cataluña;Hombres;De 90 a 94 años;18
Total Nacional;Cataluña;Hombres;De 95 años y más;2
Total Nacional;Cataluña;Mujeres;Todas las edades;141
Total Nacional;Cataluña;Mujeres;Menores de 15 años;0
Total Nacional;Cataluña;Mujeres;De 15 a 29 años;11
Total Nacional;Cataluña;Mujeres;De 30 a 39 años;21
Total Nacional;Cataluña;Mujeres;De 40 a 44 años;11
Total Nacional;Cataluña;Mujeres;De 45 a 49 años;19
Total Nacional;Cataluña;Mujeres;De 50 a 54 años;11
Total Nacional;Cataluña;Mujeres;De 55 a 59 años;14
Total Nacional;Cataluña;Mujeres;De 60 a 64 años;7
Total Nacional;Cataluña;Mujeres;De 65 a 69 años;12
Total Nacional;Cataluña;Mujeres;De 70 a 74 años;6
Total Nacional;Cataluña;Mujeres;De 75 a 79 años;8
